LonLam;LatLam;PecLam;NVen;InVe1;InVe2;Class
55.5;20;5;8;5.5;0;RS
55.5;20;12;19;5.5;0;RS
55.5;51;12;8;5.5;0;RS
55.5;51;12;8;5.5;25;RS
55.5;51;12;8;24;0;RS
55.5;51;12;19;24;0;RS
150;20;5;8;5.5;0;RS
150;20;5;8;24;0;RS
150;20;12;8;5.5;0;RS
150;20;12;8;5.5;25;RS
150;20;12;8;24;0;RS
150;20;12;8;24;25;RS
150;20;12;19;5.5;0;RS
150;20;12;19;5.5;25;RS
150;20;12;19;24;0;RS
150;51;12;8;5.5;0;RS
150;51;12;8;5.5;25;RS
150;51;12;8;24;0;RS
150;51;12;8;24;25;RS
150;51;12;19;5.5;0;RS
27;12;4;8;4;3;RE
27;12;4;8;15;3;RE
27;12;18.5;8;4;3;RE
27;12;18.5;8;4;18.5;RE
27;12;18.5;8;15;3;RE
27;12;18.5;8;15;18.5;RE
27;12;18.5;16;4;3;RE
27;12;18.5;16;4;18.5;RE
27;12;18.5;16;15;18.5;RE
100;12;18.5;8;4;3;RE
100;12;18.35;8;4;18.5;RE
100;12;18.5;8;15;3;RE
100;12;18.5;8;15;18.5;RE
100;12;18.5;16;4;3;RE
100;12;18.5;16;4;18.5;RE
100;12;18.5;16;15;3;RE
100;12;18.5;16;15;18.5;RE
100;47;18.5;8;4;3;RE
100;47;18.5;8;4;18.5;RE
100;47;18.5;8;15;3;RE
100;47;18.5;8;15;18.5;RE
100;47;18.5;16;4;3;RE
100;47;18.5;16;4;18.5;RE
100;47;18.5;16;15;3;RE
100;47;18.5;16;15;18.5;RE
36;18;2;9;5;21;RR
36;18;2;9;21;5.5;RR
36;18;2;9;21;21;RR
36;18;2;25;5;5.5;RR
38;18;2;25;5;21;RR
36;18;2;25;21;5.5;RR
36;18;2;25;21;21;RR
36;58;12;25;21;5.5;RR
36;58;12;25;21;21;RR
190;18;2;9;21;5.5;RR
190;18;2;9;21;21;RR
190;18;2;25;5;5.5;RR
190;18;2;25;5;21;RR
190;18;2;25;21;5.5;RR
190;18;2;25;21;21;RR
190;18;12;25;5;21;RR
190;18;12;25;21;5.5;RR
190;18;12;25;21;21;RR
190;58;2;25;5;5.5;RR
190;58;2;25;5;21;RR
190;58;2;25;21;5.5;RR
190;58;2;25;21;21;RR
190;58;12;25;5;5.5;RR
190;58;12;25;5;21;RR
190;58;12;25;21;5.5;RR
190;58;12;25;21;21;RR
